Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6605.20it/s]
Loading weights:   0%|          | 0/750 [00:00<?, ?it/s]Loading weights:   8%|▊         | 61/750 [00:00<00:01, 607.22it/s]Loading weights:  16%|█▋        | 122/750 [00:00<00:01, 568.45it/s]Loading weights:  24%|██▍       | 181/750 [00:00<00:01, 565.47it/s]Loading weights:  32%|███▏      | 238/750 [00:00<00:00, 538.33it/s]Loading weights:  40%|████      | 302/750 [00:00<00:00, 566.01it/s]Loading weights:  50%|█████     | 378/750 [00:00<00:00, 621.46it/s]Loading weights: 100%|██████████| 750/750 [00:00<00:00, 1033.96it/s]
[cfg] mode=compress stain=0 n_q=8 use_text=0 | trainable=27.55M | train 4576 | bs=2
[ep-1 init] mAP@0/1/2=[np.float64(0.01), np.float64(0.02), np.float64(0.07)] ndet=277 ngt=647
  ep0 step50/2288 loss 2.2388 | 2.1 samp/s
  ep0 step100/2288 loss 1.9759 | 2.1 samp/s
  ep0 step150/2288 loss 1.7785 | 2.1 samp/s
  ep0 step200/2288 loss 1.6736 | 2.1 samp/s
  ep0 step250/2288 loss 1.5959 | 2.1 samp/s
  ep0 step300/2288 loss 1.5304 | 2.1 samp/s
  ep0 step350/2288 loss 1.4862 | 2.1 samp/s
  ep0 step400/2288 loss 1.4517 | 2.1 samp/s
  ep0 step450/2288 loss 1.4195 | 2.1 samp/s
  ep0 step500/2288 loss 1.3973 | 2.1 samp/s
  ep0 step550/2288 loss 1.3774 | 2.1 samp/s
  ep0 step600/2288 loss 1.3612 | 2.1 samp/s
  ep0 step650/2288 loss 1.3414 | 2.1 samp/s
  ep0 step700/2288 loss 1.3266 | 2.1 samp/s
  ep0 step750/2288 loss 1.3109 | 2.1 samp/s
  ep0 step800/2288 loss 1.2953 | 2.1 samp/s
  ep0 step850/2288 loss 1.2852 | 2.1 samp/s
  ep0 step900/2288 loss 1.2729 | 2.1 samp/s
  ep0 step950/2288 loss 1.2634 | 2.1 samp/s
  ep0 step1000/2288 loss 1.2553 | 2.1 samp/s
  ep0 step1050/2288 loss 1.2447 | 2.1 samp/s
  ep0 step1100/2288 loss 1.2350 | 2.1 samp/s
  ep0 step1150/2288 loss 1.2240 | 2.1 samp/s
  ep0 step1200/2288 loss 1.2134 | 2.1 samp/s
  ep0 step1250/2288 loss 1.2020 | 2.1 samp/s
  ep0 step1300/2288 loss 1.1936 | 2.1 samp/s
  ep0 step1350/2288 loss 1.1840 | 2.1 samp/s
  ep0 step1400/2288 loss 1.1748 | 2.1 samp/s
  ep0 step1450/2288 loss 1.1652 | 2.1 samp/s
  ep0 step1500/2288 loss 1.1574 | 2.1 samp/s
  ep0 step1550/2288 loss 1.1467 | 2.1 samp/s
  ep0 step1600/2288 loss 1.1398 | 2.1 samp/s
  ep0 step1650/2288 loss 1.1308 | 2.1 samp/s
  ep0 step1700/2288 loss 1.1210 | 2.1 samp/s
  ep0 step1750/2288 loss 1.1132 | 2.1 samp/s
  ep0 step1800/2288 loss 1.1080 | 2.1 samp/s
  ep0 step1850/2288 loss 1.1002 | 2.1 samp/s
  ep0 step1900/2288 loss 1.0929 | 2.1 samp/s
  ep0 step1950/2288 loss 1.0859 | 2.1 samp/s
  ep0 step2000/2288 loss 1.0774 | 2.1 samp/s
  ep0 step2050/2288 loss 1.0694 | 2.1 samp/s
  ep0 step2100/2288 loss 1.0614 | 2.1 samp/s
  ep0 step2150/2288 loss 1.0551 | 2.1 samp/s
  ep0 step2200/2288 loss 1.0481 | 2.1 samp/s
  ep0 step2250/2288 loss 1.0416 | 2.1 samp/s
[ep0] loss 1.0361 | mAP@0/1/2=[np.float64(2.0), np.float64(9.24), np.float64(20.82)] ndet=675 ngt=647 | 2.0 samp/s
  ep1 step50/2288 loss 0.7465 | 2.2 samp/s
  ep1 step100/2288 loss 0.7614 | 2.1 samp/s
  ep1 step150/2288 loss 0.7416 | 2.2 samp/s
  ep1 step200/2288 loss 0.7444 | 2.2 samp/s
  ep1 step250/2288 loss 0.7368 | 2.2 samp/s
  ep1 step300/2288 loss 0.7382 | 2.2 samp/s
  ep1 step350/2288 loss 0.7438 | 2.2 samp/s
