Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 27915.50it/s]
Loading weights:   0%|          | 0/750 [00:00<?, ?it/s]Loading weights:   7%|▋         | 50/750 [00:00<00:01, 490.84it/s]Loading weights:  14%|█▎        | 103/750 [00:00<00:01, 503.42it/s]Loading weights:  21%|██        | 159/750 [00:00<00:01, 523.47it/s]Loading weights:  28%|██▊       | 212/750 [00:00<00:01, 487.55it/s]Loading weights:  35%|███▌      | 263/750 [00:00<00:00, 492.92it/s]Loading weights:  42%|████▏     | 313/750 [00:00<00:00, 489.64it/s]Loading weights:  49%|████▉     | 369/750 [00:00<00:00, 511.09it/s]Loading weights:  98%|█████████▊| 733/750 [00:00<00:00, 1476.69it/s]Loading weights: 100%|██████████| 750/750 [00:00<00:00, 889.79it/s] 
[cfg] mode=compress stain=0 n_q=8 use_text=0 | trainable=71.20M | train 4576 | bs=2
[ep-1 init] mAP@0/1/2=[np.float64(0.01), np.float64(0.02), np.float64(0.07)] ndet=277 ngt=647
  ep0 step50/2288 loss 1.2198 | 2.0 samp/s
  ep0 step100/2288 loss 1.1082 | 1.9 samp/s
  ep0 step150/2288 loss 1.0638 | 1.9 samp/s
  ep0 step200/2288 loss 1.0308 | 1.9 samp/s
  ep0 step250/2288 loss 1.0216 | 1.9 samp/s
  ep0 step300/2288 loss 1.0055 | 1.9 samp/s
  ep0 step350/2288 loss 0.9921 | 1.9 samp/s
  ep0 step400/2288 loss 0.9834 | 1.9 samp/s
  ep0 step450/2288 loss 0.9746 | 1.9 samp/s
  ep0 step500/2288 loss 0.9714 | 1.9 samp/s
  ep0 step550/2288 loss 0.9679 | 1.9 samp/s
  ep0 step600/2288 loss 0.9639 | 1.9 samp/s
  ep0 step650/2288 loss 0.9594 | 1.9 samp/s
  ep0 step700/2288 loss 0.9566 | 1.9 samp/s
  ep0 step750/2288 loss 0.9529 | 1.9 samp/s
  ep0 step800/2288 loss 0.9477 | 1.9 samp/s
  ep0 step850/2288 loss 0.9462 | 1.9 samp/s
  ep0 step900/2288 loss 0.9417 | 1.9 samp/s
  ep0 step950/2288 loss 0.9387 | 1.9 samp/s
  ep0 step1000/2288 loss 0.9367 | 1.9 samp/s
  ep0 step1050/2288 loss 0.9336 | 1.9 samp/s
  ep0 step1100/2288 loss 0.9315 | 1.9 samp/s
  ep0 step1150/2288 loss 0.9287 | 1.9 samp/s
  ep0 step1200/2288 loss 0.9256 | 1.9 samp/s
  ep0 step1250/2288 loss 0.9228 | 1.9 samp/s
  ep0 step1300/2288 loss 0.9215 | 1.9 samp/s
  ep0 step1350/2288 loss 0.9190 | 1.9 samp/s
  ep0 step1400/2288 loss 0.9167 | 1.9 samp/s
  ep0 step1450/2288 loss 0.9140 | 1.9 samp/s
  ep0 step1500/2288 loss 0.9127 | 1.9 samp/s
  ep0 step1550/2288 loss 0.9101 | 1.9 samp/s
  ep0 step1600/2288 loss 0.9091 | 1.9 samp/s
  ep0 step1650/2288 loss 0.9055 | 1.9 samp/s
  ep0 step1700/2288 loss 0.9002 | 1.9 samp/s
  ep0 step1750/2288 loss 0.8994 | 1.9 samp/s
