Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14781.69it/s]
Loading weights:   0%|          | 0/750 [00:00<?, ?it/s]Loading weights:   7%|▋         | 50/750 [00:00<00:01, 480.41it/s]Loading weights:  14%|█▎        | 103/750 [00:00<00:01, 497.13it/s]Loading weights:  21%|██        | 158/750 [00:00<00:01, 520.03it/s]Loading weights:  28%|██▊       | 211/750 [00:00<00:01, 492.16it/s]Loading weights:  35%|███▍      | 261/750 [00:00<00:01, 484.57it/s]Loading weights:  41%|████▏     | 311/750 [00:00<00:00, 484.09it/s]Loading weights:  49%|████▉     | 368/750 [00:00<00:00, 505.61it/s]Loading weights:  94%|█████████▍| 707/750 [00:00<00:00, 1391.51it/s]Loading weights: 100%|██████████| 750/750 [00:00<00:00, 874.72it/s] 
[cfg] mode=mean stain=1 n_q=8 use_text=1 | trainable=9.97M | train 4576 | bs=2
[ep-1 init] mAP@0/1/2=[np.float64(0.0), np.float64(0.03), np.float64(0.09)] ndet=277 ngt=647
  ep0 step50/2288 loss 1.9970 | 3.0 samp/s
  ep0 step100/2288 loss 1.6977 | 3.0 samp/s
  ep0 step150/2288 loss 1.5689 | 3.0 samp/s
  ep0 step200/2288 loss 1.4710 | 3.0 samp/s
  ep0 step250/2288 loss 1.4088 | 3.0 samp/s
  ep0 step300/2288 loss 1.3550 | 3.0 samp/s
  ep0 step350/2288 loss 1.3184 | 3.0 samp/s
  ep0 step400/2288 loss 1.2810 | 3.0 samp/s
  ep0 step450/2288 loss 1.2491 | 3.0 samp/s
  ep0 step500/2288 loss 1.2290 | 3.0 samp/s
  ep0 step550/2288 loss 1.2145 | 3.0 samp/s
  ep0 step600/2288 loss 1.1986 | 3.0 samp/s
  ep0 step650/2288 loss 1.1836 | 3.0 samp/s
  ep0 step700/2288 loss 1.1717 | 3.0 samp/s
  ep0 step750/2288 loss 1.1595 | 3.0 samp/s
  ep0 step800/2288 loss 1.1471 | 3.0 samp/s
  ep0 step850/2288 loss 1.1389 | 3.0 samp/s
  ep0 step900/2288 loss 1.1287 | 3.0 samp/s
  ep0 step950/2288 loss 1.1224 | 3.0 samp/s
  ep0 step1000/2288 loss 1.1158 | 3.1 samp/s
  ep0 step1050/2288 loss 1.1105 | 3.1 samp/s
  ep0 step1100/2288 loss 1.1054 | 3.1 samp/s
  ep0 step1150/2288 loss 1.0994 | 3.1 samp/s
  ep0 step1200/2288 loss 1.0932 | 3.1 samp/s
  ep0 step1250/2288 loss 1.0874 | 3.1 samp/s
  ep0 step1300/2288 loss 1.0835 | 3.1 samp/s
  ep0 step1350/2288 loss 1.0784 | 3.1 samp/s
  ep0 step1400/2288 loss 1.0734 | 3.1 samp/s
  ep0 step1450/2288 loss 1.0679 | 3.1 samp/s
  ep0 step1500/2288 loss 1.0648 | 3.1 samp/s
  ep0 step1550/2288 loss 1.0598 | 3.1 samp/s
  ep0 step1600/2288 loss 1.0570 | 3.1 samp/s
  ep0 step1650/2288 loss 1.0520 | 3.1 samp/s
  ep0 step1700/2288 loss 1.0463 | 3.1 samp/s
  ep0 step1750/2288 loss 1.0409 | 3.1 samp/s
  ep0 step1800/2288 loss 1.0378 | 3.1 samp/s
  ep0 step1850/2288 loss 1.0326 | 3.1 samp/s
  ep0 step1900/2288 loss 1.0277 | 3.1 samp/s
  ep0 step1950/2288 loss 1.0227 | 3.1 samp/s
  ep0 step2000/2288 loss 1.0167 | 3.2 samp/s
  ep0 step2050/2288 loss 1.0106 | 3.2 samp/s
  ep0 step2100/2288 loss 1.0043 | 3.2 samp/s
  ep0 step2150/2288 loss 0.9989 | 3.2 samp/s
  ep0 step2200/2288 loss 0.9930 | 3.2 samp/s
  ep0 step2250/2288 loss 0.9874 | 3.2 samp/s
[ep0] loss 0.9831 | mAP@0/1/2=[np.float64(1.47), np.float64(9.16), np.float64(21.34)] ndet=579 ngt=647 | 3.1 samp/s
  ep1 step50/2288 loss 0.7717 | 3.4 samp/s
  ep1 step100/2288 loss 0.7663 | 3.4 samp/s
  ep1 step150/2288 loss 0.7441 | 3.4 samp/s
  ep1 step200/2288 loss 0.7441 | 3.4 samp/s
  ep1 step250/2288 loss 0.7366 | 3.4 samp/s
  ep1 step300/2288 loss 0.7376 | 3.4 samp/s
  ep1 step350/2288 loss 0.7393 | 3.4 samp/s
