[cfg] refine4 W=48 mode=film n_lang=2 stages=3 reject=True | pairs 3498 (pos 3448 / neg 50)
[ep0] loss 1.461 | REFINED @0/1/2=[np.float64(0.01), np.float64(0.09), np.float64(0.4)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1145 it/s
[ep1] loss 1.189 | REFINED @0/1/2=[np.float64(0.31), np.float64(2.6), np.float64(7.32)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1492 it/s
[ep2] loss 0.911 | REFINED @0/1/2=[np.float64(1.62), np.float64(10.34), np.float64(26.04)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1582 it/s
[ep3] loss 0.762 | REFINED @0/1/2=[np.float64(2.36), np.float64(16.71), np.float64(32.79)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1665 it/s
[ep4] loss 0.666 | REFINED @0/1/2=[np.float64(2.0), np.float64(21.74), np.float64(41.71)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1657 it/s
[ep5] loss 0.602 | REFINED @0/1/2=[np.float64(2.83), np.float64(24.01), np.float64(47.02)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1591 it/s
[ep6] loss 0.570 | REFINED @0/1/2=[np.float64(3.67), np.float64(25.67), np.float64(47.44)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1550 it/s
[ep7] loss 0.539 | REFINED @0/1/2=[np.float64(4.44), np.float64(31.01), np.float64(51.32)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1603 it/s
[ep8] loss 0.503 | REFINED @0/1/2=[np.float64(4.62), np.float64(32.89), np.float64(52.8)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1623 it/s
[ep9] loss 0.482 | REFINED @0/1/2=[np.float64(4.48), np.float64(30.19), np.float64(52.01)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1634 it/s
[ep10] loss 0.469 | REFINED @0/1/2=[np.float64(4.81), np.float64(29.4), np.float64(50.44)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1622 it/s
[ep11] loss 0.451 | REFINED @0/1/2=[np.float64(4.18), np.float64(29.81), np.float64(54.51)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1615 it/s
[ep12] loss 0.428 | REFINED @0/1/2=[np.float64(4.97), np.float64(30.93), np.float64(55.06)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1606 it/s
[ep13] loss 0.418 | REFINED @0/1/2=[np.float64(5.58), np.float64(35.44), np.float64(56.53)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1662 it/s
[ep14] loss 0.403 | REFINED @0/1/2=[np.float64(5.41), np.float64(32.69), np.float64(55.36)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1665 it/s
[ep15] loss 0.397 | REFINED @0/1/2=[np.float64(6.59), np.float64(35.4), np.float64(56.05)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1552 it/s
[ep16] loss 0.380 | REFINED @0/1/2=[np.float64(5.19), np.float64(31.34), np.float64(54.11)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1642 it/s
[ep17] loss 0.367 | REFINED @0/1/2=[np.float64(4.26), np.float64(29.69), np.float64(53.09)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1670 it/s
[ep18] loss 0.359 | REFINED @0/1/2=[np.float64(6.56), np.float64(32.11), np.float64(54.52)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1619 it/s
[ep19] loss 0.347 | REFINED @0/1/2=[np.float64(6.08), np.float64(30.07), np.float64(52.96)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1616 it/s
[ep20] loss 0.341 | REFINED @0/1/2=[np.float64(5.8), np.float64(31.98), np.float64(53.6)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1685 it/s
[ep21] loss 0.332 | REFINED @0/1/2=[np.float64(6.45), np.float64(30.57), np.float64(54.53)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1626 it/s
[ep22] loss 0.329 | REFINED @0/1/2=[np.float64(5.75), np.float64(31.91), np.float64(52.89)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1625 it/s
[ep23] loss 0.323 | REFINED @0/1/2=[np.float64(5.49), np.float64(31.69), np.float64(54.18)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1633 it/s
[ep24] loss 0.319 | REFINED @0/1/2=[np.float64(5.83), np.float64(31.72), np.float64(53.48)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1605 it/s
[ep25] loss 0.319 | REFINED @0/1/2=[np.float64(5.91), np.float64(31.04), np.float64(53.89)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1579 it/s
[ep26] loss 0.318 | REFINED @0/1/2=[np.float64(5.8), np.float64(31.15), np.float64(53.58)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1615 it/s
[ep27] loss 0.316 | REFINED @0/1/2=[np.float64(5.84), np.float64(31.15), np.float64(53.83)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1617 it/s
[ep28] loss 0.317 | REFINED @0/1/2=[np.float64(5.87), np.float64(31.28), np.float64(53.56)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1647 it/s
[ep29] loss 0.317 | REFINED @0/1/2=[np.float64(5.97), np.float64(31.9), np.float64(53.67)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1666 it/s
[done] r4_film best REFINED @0/1/2=[np.float64(5.58), np.float64(35.44), np.float64(56.53)] (stage-1 base @2 44.90)
