[cfg] refine4 W=48 mode=film n_lang=2 stages=3 reject=True | pairs 3498 (pos 3448 / neg 50)
[ep0] loss 1.461 | REFINED @0/1/2=[np.float64(0.01), np.float64(0.09), np.float64(0.4)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1215 it/s
[ep1] loss 1.189 | REFINED @0/1/2=[np.float64(0.31), np.float64(2.6), np.float64(7.32)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1484 it/s
[ep2] loss 0.911 | REFINED @0/1/2=[np.float64(1.62), np.float64(10.34), np.float64(26.04)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1577 it/s
[ep3] loss 0.762 | REFINED @0/1/2=[np.float64(2.36), np.float64(16.71), np.float64(32.79)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1536 it/s
[ep4] loss 0.666 | REFINED @0/1/2=[np.float64(2.0), np.float64(21.74), np.float64(41.71)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1606 it/s
[ep5] loss 0.602 | REFINED @0/1/2=[np.float64(2.83), np.float64(24.01), np.float64(47.02)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1623 it/s
[ep6] loss 0.570 | REFINED @0/1/2=[np.float64(3.67), np.float64(25.67), np.float64(47.44)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1574 it/s
[ep7] loss 0.539 | REFINED @0/1/2=[np.float64(4.44), np.float64(31.01), np.float64(51.32)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1554 it/s
[ep8] loss 0.503 | REFINED @0/1/2=[np.float64(4.62), np.float64(32.89), np.float64(52.8)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1555 it/s
[ep9] loss 0.482 | REFINED @0/1/2=[np.float64(4.48), np.float64(30.19), np.float64(52.01)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1617 it/s
[ep10] loss 0.469 | REFINED @0/1/2=[np.float64(4.81), np.float64(29.4), np.float64(50.44)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1553 it/s
[ep11] loss 0.451 | REFINED @0/1/2=[np.float64(4.18), np.float64(29.81), np.float64(54.51)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1615 it/s
