[cfg] refine4 W=48 mode=xattn n_lang=3 stages=4 reject=True | pairs 3498 (pos 3448 / neg 50)
[ep0] loss 1.977 | REFINED @0/1/2=[np.float64(0.02), np.float64(0.05), np.float64(0.1)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1071 it/s
[ep1] loss 1.562 | REFINED @0/1/2=[np.float64(0.5), np.float64(3.29), np.float64(8.52)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1402 it/s
[ep2] loss 1.294 | REFINED @0/1/2=[np.float64(1.35), np.float64(9.6), np.float64(22.78)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1443 it/s
[ep3] loss 1.049 | REFINED @0/1/2=[np.float64(2.69), np.float64(16.51), np.float64(30.57)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1426 it/s
[ep4] loss 0.941 | REFINED @0/1/2=[np.float64(2.08), np.float64(17.33), np.float64(34.22)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1388 it/s
[ep5] loss 0.879 | REFINED @0/1/2=[np.float64(4.23), np.float64(19.11), np.float64(36.29)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1432 it/s
[ep6] loss 0.842 | REFINED @0/1/2=[np.float64(4.72), np.float64(21.65), np.float64(39.01)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1453 it/s
[ep7] loss 0.813 | REFINED @0/1/2=[np.float64(4.69), np.float64(19.76), np.float64(41.98)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1457 it/s
[ep8] loss 0.786 | REFINED @0/1/2=[np.float64(1.42), np.float64(19.94), np.float64(37.7)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1465 it/s
[ep9] loss 0.751 | REFINED @0/1/2=[np.float64(2.09), np.float64(19.41), np.float64(40.21)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1526 it/s
[ep10] loss 0.726 | REFINED @0/1/2=[np.float64(2.2), np.float64(20.94), np.float64(42.98)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1513 it/s
[ep11] loss 0.702 | REFINED @0/1/2=[np.float64(2.46), np.float64(22.75), np.float64(41.41)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1486 it/s
[ep12] loss 0.681 | REFINED @0/1/2=[np.float64(1.99), np.float64(21.46), np.float64(41.25)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1541 it/s
[ep13] loss 0.650 | REFINED @0/1/2=[np.float64(5.24), np.float64(20.87), np.float64(44.45)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1548 it/s
[ep14] loss 0.632 | REFINED @0/1/2=[np.float64(1.95), np.float64(20.89), np.float64(41.91)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1546 it/s
[ep15] loss 0.611 | REFINED @0/1/2=[np.float64(3.12), np.float64(21.51), np.float64(44.4)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1510 it/s
[ep16] loss 0.591 | REFINED @0/1/2=[np.float64(2.0), np.float64(20.93), np.float64(40.56)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1503 it/s
[ep17] loss 0.564 | REFINED @0/1/2=[np.float64(2.77), np.float64(21.48), np.float64(44.72)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1540 it/s
[ep18] loss 0.549 | REFINED @0/1/2=[np.float64(2.32), np.float64(21.11), np.float64(41.76)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1543 it/s
[ep19] loss 0.530 | REFINED @0/1/2=[np.float64(2.66), np.float64(19.87), np.float64(41.37)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1540 it/s
[ep20] loss 0.518 | REFINED @0/1/2=[np.float64(2.31), np.float64(21.46), np.float64(43.06)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1540 it/s
[ep21] loss 0.507 | REFINED @0/1/2=[np.float64(2.67), np.float64(21.32), np.float64(41.19)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1493 it/s
[ep22] loss 0.493 | REFINED @0/1/2=[np.float64(2.61), np.float64(21.5), np.float64(41.75)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1513 it/s
[ep23] loss 0.484 | REFINED @0/1/2=[np.float64(2.94), np.float64(20.72), np.float64(41.91)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1503 it/s
[ep24] loss 0.480 | REFINED @0/1/2=[np.float64(2.58), np.float64(21.59), np.float64(42.76)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1514 it/s
[ep25] loss 0.474 | REFINED @0/1/2=[np.float64(2.66), np.float64(21.83), np.float64(42.73)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1545 it/s
[ep26] loss 0.470 | REFINED @0/1/2=[np.float64(2.84), np.float64(21.54), np.float64(42.49)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1539 it/s
[ep27] loss 0.470 | REFINED @0/1/2=[np.float64(2.74), np.float64(21.86), np.float64(42.48)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1529 it/s
[ep28] loss 0.470 | REFINED @0/1/2=[np.float64(2.71), np.float64(21.63), np.float64(42.46)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1557 it/s
[ep29] loss 0.470 | REFINED @0/1/2=[np.float64(2.7), np.float64(21.56), np.float64(42.04)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1557 it/s
[done] r4_push best REFINED @0/1/2=[np.float64(2.77), np.float64(21.48), np.float64(44.72)] (stage-1 base @2 44.90)
