[cfg] refine4 W=48 mode=xattn n_lang=2 stages=3 reject=False | pairs 3448 (pos 3448 / neg 0)
[ep0] loss 1.374 | REFINED @0/1/2=[np.float64(0.0), np.float64(0.02), np.float64(0.06)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1091 it/s
[ep1] loss 1.198 | REFINED @0/1/2=[np.float64(0.45), np.float64(2.81), np.float64(6.25)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1507 it/s
[ep2] loss 0.949 | REFINED @0/1/2=[np.float64(1.97), np.float64(10.08), np.float64(20.79)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1503 it/s
[ep3] loss 0.803 | REFINED @0/1/2=[np.float64(2.51), np.float64(14.1), np.float64(28.74)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1473 it/s
[ep4] loss 0.732 | REFINED @0/1/2=[np.float64(1.7), np.float64(16.9), np.float64(32.2)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1507 it/s
[ep5] loss 0.687 | REFINED @0/1/2=[np.float64(2.6), np.float64(17.77), np.float64(33.0)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1552 it/s
[ep6] loss 0.661 | REFINED @0/1/2=[np.float64(2.74), np.float64(15.27), np.float64(31.08)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1517 it/s
[ep7] loss 0.633 | REFINED @0/1/2=[np.float64(3.87), np.float64(18.73), np.float64(35.09)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1502 it/s
[ep8] loss 0.612 | REFINED @0/1/2=[np.float64(3.56), np.float64(18.54), np.float64(37.08)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1547 it/s
[ep9] loss 0.599 | REFINED @0/1/2=[np.float64(3.54), np.float64(19.55), np.float64(39.66)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1546 it/s
[ep10] loss 0.582 | REFINED @0/1/2=[np.float64(3.44), np.float64(18.47), np.float64(38.95)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1559 it/s
[ep11] loss 0.570 | REFINED @0/1/2=[np.float64(3.3), np.float64(20.31), np.float64(40.15)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1525 it/s
[ep12] loss 0.549 | REFINED @0/1/2=[np.float64(3.75), np.float64(22.05), np.float64(41.67)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1504 it/s
[ep13] loss 0.539 | REFINED @0/1/2=[np.float64(3.45), np.float64(18.21), np.float64(37.62)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1564 it/s
[ep14] loss 0.533 | REFINED @0/1/2=[np.float64(5.02), np.float64(20.19), np.float64(43.43)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1490 it/s
[ep15] loss 0.518 | REFINED @0/1/2=[np.float64(3.26), np.float64(23.03), np.float64(41.63)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1536 it/s
[ep16] loss 0.503 | REFINED @0/1/2=[np.float64(2.85), np.float64(18.92), np.float64(41.15)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1586 it/s
[ep17] loss 0.499 | REFINED @0/1/2=[np.float64(3.41), np.float64(23.03), np.float64(43.04)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1580 it/s
[ep18] loss 0.487 | REFINED @0/1/2=[np.float64(2.61), np.float64(22.78), np.float64(41.67)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1533 it/s
[ep19] loss 0.482 | REFINED @0/1/2=[np.float64(3.42), np.float64(21.5), np.float64(41.77)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1597 it/s
[ep20] loss 0.472 | REFINED @0/1/2=[np.float64(3.27), np.float64(23.75), np.float64(43.29)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1546 it/s
[ep21] loss 0.468 | REFINED @0/1/2=[np.float64(2.92), np.float64(21.78), np.float64(41.84)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1579 it/s
[ep22] loss 0.464 | REFINED @0/1/2=[np.float64(2.99), np.float64(22.31), np.float64(41.44)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1579 it/s
[ep23] loss 0.460 | REFINED @0/1/2=[np.float64(3.59), np.float64(23.93), np.float64(43.5)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1516 it/s
[ep24] loss 0.454 | REFINED @0/1/2=[np.float64(3.16), np.float64(23.97), np.float64(42.76)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1561 it/s
[ep25] loss 0.455 | REFINED @0/1/2=[np.float64(3.1), np.float64(24.18), np.float64(42.56)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1451 it/s
[ep26] loss 0.453 | REFINED @0/1/2=[np.float64(3.14), np.float64(23.99), np.float64(42.64)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1547 it/s
[ep27] loss 0.454 | REFINED @0/1/2=[np.float64(3.11), np.float64(23.9), np.float64(42.79)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1538 it/s
[ep28] loss 0.453 | REFINED @0/1/2=[np.float64(3.11), np.float64(23.89), np.float64(42.48)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1574 it/s
[ep29] loss 0.453 | REFINED @0/1/2=[np.float64(3.14), np.float64(24.02), np.float64(42.8)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1580 it/s
[done] r4_xattn best REFINED @0/1/2=[np.float64(3.59), np.float64(23.93), np.float64(43.5)] (stage-1 base @2 44.90)
