[cfg] refine4 W=48 mode=xattn n_lang=2 stages=3 reject=True | pairs 3498 (pos 3448 / neg 50)
[ep0] loss 1.361 | REFINED @0/1/2=[np.float64(0.03), np.float64(0.13), np.float64(0.19)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1107 it/s
[ep1] loss 1.181 | REFINED @0/1/2=[np.float64(0.46), np.float64(2.85), np.float64(6.11)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1544 it/s
[ep2] loss 0.924 | REFINED @0/1/2=[np.float64(1.29), np.float64(10.23), np.float64(23.45)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1591 it/s
[ep3] loss 0.784 | REFINED @0/1/2=[np.float64(2.31), np.float64(13.83), np.float64(30.29)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1577 it/s
[ep4] loss 0.718 | REFINED @0/1/2=[np.float64(2.33), np.float64(16.43), np.float64(31.88)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1534 it/s
[ep5] loss 0.679 | REFINED @0/1/2=[np.float64(3.29), np.float64(18.16), np.float64(33.82)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1517 it/s
[ep6] loss 0.653 | REFINED @0/1/2=[np.float64(3.2), np.float64(19.13), np.float64(37.78)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1603 it/s
[ep7] loss 0.625 | REFINED @0/1/2=[np.float64(3.16), np.float64(17.93), np.float64(37.83)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1550 it/s
[ep8] loss 0.610 | REFINED @0/1/2=[np.float64(2.73), np.float64(19.9), np.float64(38.39)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1589 it/s
[ep9] loss 0.586 | REFINED @0/1/2=[np.float64(3.43), np.float64(21.32), np.float64(39.52)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1596 it/s
[ep10] loss 0.572 | REFINED @0/1/2=[np.float64(2.48), np.float64(17.44), np.float64(35.83)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1620 it/s
[ep11] loss 0.556 | REFINED @0/1/2=[np.float64(3.09), np.float64(22.06), np.float64(41.48)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1646 it/s
[ep12] loss 0.541 | REFINED @0/1/2=[np.float64(2.97), np.float64(20.77), np.float64(42.39)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1636 it/s
[ep13] loss 0.526 | REFINED @0/1/2=[np.float64(4.1), np.float64(19.45), np.float64(43.23)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1649 it/s
[ep14] loss 0.519 | REFINED @0/1/2=[np.float64(3.42), np.float64(20.69), np.float64(41.26)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1654 it/s
[ep15] loss 0.506 | REFINED @0/1/2=[np.float64(3.95), np.float64(23.25), np.float64(43.31)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1616 it/s
[ep16] loss 0.497 | REFINED @0/1/2=[np.float64(3.53), np.float64(21.22), np.float64(39.57)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1647 it/s
[ep17] loss 0.483 | REFINED @0/1/2=[np.float64(2.89), np.float64(22.09), np.float64(42.78)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1643 it/s
[ep18] loss 0.474 | REFINED @0/1/2=[np.float64(3.31), np.float64(22.53), np.float64(41.37)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1631 it/s
[ep19] loss 0.469 | REFINED @0/1/2=[np.float64(3.34), np.float64(23.4), np.float64(42.15)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1605 it/s
[ep20] loss 0.461 | REFINED @0/1/2=[np.float64(3.32), np.float64(23.23), np.float64(41.79)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1581 it/s
[ep21] loss 0.455 | REFINED @0/1/2=[np.float64(3.5), np.float64(23.95), np.float64(44.04)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1638 it/s
[ep22] loss 0.452 | REFINED @0/1/2=[np.float64(3.2), np.float64(22.71), np.float64(42.23)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1573 it/s
[ep23] loss 0.448 | REFINED @0/1/2=[np.float64(3.74), np.float64(23.38), np.float64(42.83)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1559 it/s
[ep24] loss 0.446 | REFINED @0/1/2=[np.float64(3.7), np.float64(23.83), np.float64(42.56)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1568 it/s
[ep25] loss 0.445 | REFINED @0/1/2=[np.float64(3.5), np.float64(23.22), np.float64(43.04)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1615 it/s
[ep26] loss 0.442 | REFINED @0/1/2=[np.float64(3.38), np.float64(23.47), np.float64(43.03)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1561 it/s
[ep27] loss 0.441 | REFINED @0/1/2=[np.float64(3.42), np.float64(23.28), np.float64(42.9)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1593 it/s
[ep28] loss 0.443 | REFINED @0/1/2=[np.float64(3.42), np.float64(23.23), np.float64(43.02)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1574 it/s
[ep29] loss 0.441 | REFINED @0/1/2=[np.float64(3.39), np.float64(23.21), np.float64(42.65)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1616 it/s
[done] r4_xattn_rej best REFINED @0/1/2=[np.float64(3.5), np.float64(23.95), np.float64(44.04)] (stage-1 base @2 44.90)
