[cfg] refine4 W=48 mode=film n_lang=2 stages=4 reject=False | pairs 3448 (pos 3448 / neg 0)
[ep0] loss 2.048 | REFINED @0/1/2=[np.float64(0.02), np.float64(0.04), np.float64(0.1)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1055 it/s
[ep1] loss 1.571 | REFINED @0/1/2=[np.float64(0.02), np.float64(0.29), np.float64(0.71)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1472 it/s
[ep2] loss 1.212 | REFINED @0/1/2=[np.float64(1.6), np.float64(12.61), np.float64(25.54)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1388 it/s
[ep3] loss 0.975 | REFINED @0/1/2=[np.float64(1.53), np.float64(15.47), np.float64(29.41)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1448 it/s
[ep4] loss 0.875 | REFINED @0/1/2=[np.float64(2.46), np.float64(20.58), np.float64(41.14)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1445 it/s
[ep5] loss 0.807 | REFINED @0/1/2=[np.float64(2.58), np.float64(22.79), np.float64(41.75)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1454 it/s
[ep6] loss 0.744 | REFINED @0/1/2=[np.float64(2.04), np.float64(21.23), np.float64(45.61)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1445 it/s
[ep7] loss 0.693 | REFINED @0/1/2=[np.float64(4.98), np.float64(26.73), np.float64(54.31)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1392 it/s
[ep8] loss 0.655 | REFINED @0/1/2=[np.float64(3.46), np.float64(26.07), np.float64(47.71)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1423 it/s
[ep9] loss 0.637 | REFINED @0/1/2=[np.float64(2.7), np.float64(27.96), np.float64(51.96)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1378 it/s
[ep10] loss 0.597 | REFINED @0/1/2=[np.float64(3.6), np.float64(27.39), np.float64(51.56)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1460 it/s
[ep11] loss 0.572 | REFINED @0/1/2=[np.float64(3.74), np.float64(30.03), np.float64(54.36)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1469 it/s
[ep12] loss 0.557 | REFINED @0/1/2=[np.float64(4.7), np.float64(30.33), np.float64(52.27)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1391 it/s
[ep13] loss 0.532 | REFINED @0/1/2=[np.float64(4.2), np.float64(27.63), np.float64(50.46)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1389 it/s
[ep14] loss 0.510 | REFINED @0/1/2=[np.float64(4.13), np.float64(30.24), np.float64(50.17)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1448 it/s
[ep15] loss 0.485 | REFINED @0/1/2=[np.float64(4.56), np.float64(28.24), np.float64(53.55)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1450 it/s
[ep16] loss 0.460 | REFINED @0/1/2=[np.float64(4.14), np.float64(25.82), np.float64(51.46)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1430 it/s
[ep17] loss 0.448 | REFINED @0/1/2=[np.float64(4.09), np.float64(28.0), np.float64(48.28)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1426 it/s
[ep18] loss 0.427 | REFINED @0/1/2=[np.float64(4.49), np.float64(27.95), np.float64(50.94)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1413 it/s
[ep19] loss 0.414 | REFINED @0/1/2=[np.float64(4.19), np.float64(27.52), np.float64(48.68)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1432 it/s
[ep20] loss 0.405 | REFINED @0/1/2=[np.float64(3.83), np.float64(27.31), np.float64(48.4)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1389 it/s
[ep21] loss 0.387 | REFINED @0/1/2=[np.float64(4.19), np.float64(23.83), np.float64(46.43)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1510 it/s
[ep22] loss 0.378 | REFINED @0/1/2=[np.float64(4.13), np.float64(25.35), np.float64(46.84)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1482 it/s
[ep23] loss 0.368 | REFINED @0/1/2=[np.float64(4.24), np.float64(24.99), np.float64(47.5)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1448 it/s
[ep24] loss 0.362 | REFINED @0/1/2=[np.float64(4.33), np.float64(25.46), np.float64(46.89)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1472 it/s
[ep25] loss 0.361 | REFINED @0/1/2=[np.float64(4.46), np.float64(25.41), np.float64(47.05)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1495 it/s
[ep26] loss 0.357 | REFINED @0/1/2=[np.float64(4.38), np.float64(25.03), np.float64(46.7)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1416 it/s
[ep27] loss 0.356 | REFINED @0/1/2=[np.float64(4.27), np.float64(24.97), np.float64(46.56)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1441 it/s
[ep28] loss 0.358 | REFINED @0/1/2=[np.float64(4.34), np.float64(25.11), np.float64(46.76)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1473 it/s
