[cfg] refine4 W=48 mode=film n_lang=2 stages=3 reject=False | pairs 3448 (pos 3448 / neg 0)
[ep0] loss 1.056 | REFINED @0/1/2=[np.float64(0.0), np.float64(0.02), np.float64(0.04)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1236 it/s
[ep1] loss 0.681 | REFINED @0/1/2=[np.float64(0.02), np.float64(0.12), np.float64(0.4)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1561 it/s
[ep2] loss 0.618 | REFINED @0/1/2=[np.float64(0.69), np.float64(4.47), np.float64(12.06)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1642 it/s
[ep3] loss 0.533 | REFINED @0/1/2=[np.float64(1.43), np.float64(12.33), np.float64(25.58)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1674 it/s
[ep4] loss 0.475 | REFINED @0/1/2=[np.float64(1.64), np.float64(13.18), np.float64(32.7)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1616 it/s
[ep5] loss 0.442 | REFINED @0/1/2=[np.float64(2.58), np.float64(20.71), np.float64(39.39)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1656 it/s
[ep6] loss 0.420 | REFINED @0/1/2=[np.float64(2.92), np.float64(23.11), np.float64(40.24)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1622 it/s
[ep7] loss 0.401 | REFINED @0/1/2=[np.float64(4.12), np.float64(25.82), np.float64(46.93)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1637 it/s
[ep8] loss 0.385 | REFINED @0/1/2=[np.float64(3.51), np.float64(21.16), np.float64(42.53)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1642 it/s
[ep9] loss 0.379 | REFINED @0/1/2=[np.float64(3.89), np.float64(26.56), np.float64(49.18)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1649 it/s
[ep10] loss 0.366 | REFINED @0/1/2=[np.float64(4.86), np.float64(26.25), np.float64(50.41)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1690 it/s
[ep11] loss 0.356 | REFINED @0/1/2=[np.float64(4.15), np.float64(27.99), np.float64(49.87)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1697 it/s
[ep12] loss 0.348 | REFINED @0/1/2=[np.float64(4.27), np.float64(29.76), np.float64(49.86)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1702 it/s
[ep13] loss 0.342 | REFINED @0/1/2=[np.float64(3.69), np.float64(28.89), np.float64(49.37)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1694 it/s
[ep14] loss 0.331 | REFINED @0/1/2=[np.float64(4.24), np.float64(29.5), np.float64(50.36)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1642 it/s
