[cfg] refine4 W=48 mode=film n_lang=2 stages=4 reject=False | pairs 3448 (pos 3448 / neg 0)
[ep0] loss 1.467 | REFINED @0/1/2=[np.float64(0.01), np.float64(0.03), np.float64(0.06)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1058 it/s
[ep1] loss 0.886 | REFINED @0/1/2=[np.float64(0.04), np.float64(0.26), np.float64(0.41)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1486 it/s
[ep2] loss 0.799 | REFINED @0/1/2=[np.float64(0.0), np.float64(0.02), np.float64(0.07)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1513 it/s
[ep3] loss 0.692 | REFINED @0/1/2=[np.float64(1.59), np.float64(12.81), np.float64(25.63)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1486 it/s
[ep4] loss 0.615 | REFINED @0/1/2=[np.float64(2.57), np.float64(19.35), np.float64(36.74)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1503 it/s
[ep5] loss 0.565 | REFINED @0/1/2=[np.float64(3.74), np.float64(18.8), np.float64(40.51)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1518 it/s
[ep6] loss 0.537 | REFINED @0/1/2=[np.float64(2.35), np.float64(22.69), np.float64(44.62)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1464 it/s
[ep7] loss 0.506 | REFINED @0/1/2=[np.float64(5.41), np.float64(25.99), np.float64(50.26)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1508 it/s
[ep8] loss 0.485 | REFINED @0/1/2=[np.float64(3.0), np.float64(26.8), np.float64(48.56)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1508 it/s
[ep9] loss 0.476 | REFINED @0/1/2=[np.float64(3.77), np.float64(30.94), np.float64(51.17)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1524 it/s
[ep10] loss 0.455 | REFINED @0/1/2=[np.float64(3.89), np.float64(26.57), np.float64(50.97)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1471 it/s
[ep11] loss 0.446 | REFINED @0/1/2=[np.float64(4.06), np.float64(30.04), np.float64(51.53)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1498 it/s
[ep12] loss 0.436 | REFINED @0/1/2=[np.float64(4.13), np.float64(28.77), np.float64(52.0)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1466 it/s
[ep13] loss 0.421 | REFINED @0/1/2=[np.float64(4.73), np.float64(28.99), np.float64(54.58)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1504 it/s
[ep14] loss 0.405 | REFINED @0/1/2=[np.float64(5.2), np.float64(27.92), np.float64(48.49)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1527 it/s
[ep15] loss 0.392 | REFINED @0/1/2=[np.float64(4.73), np.float64(29.25), np.float64(49.55)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1557 it/s
[ep16] loss 0.382 | REFINED @0/1/2=[np.float64(4.8), np.float64(30.58), np.float64(51.83)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1500 it/s
[ep17] loss 0.366 | REFINED @0/1/2=[np.float64(4.31), np.float64(27.18), np.float64(49.58)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1464 it/s
[ep18] loss 0.348 | REFINED @0/1/2=[np.float64(4.49), np.float64(28.58), np.float64(50.1)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1525 it/s
[ep19] loss 0.343 | REFINED @0/1/2=[np.float64(5.28), np.float64(28.61), np.float64(46.32)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1529 it/s
[ep20] loss 0.327 | REFINED @0/1/2=[np.float64(4.46), np.float64(24.93), np.float64(48.07)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1494 it/s
[ep21] loss 0.319 | REFINED @0/1/2=[np.float64(4.36), np.float64(26.77), np.float64(47.86)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1514 it/s
[ep22] loss 0.308 | REFINED @0/1/2=[np.float64(3.93), np.float64(26.31), np.float64(47.03)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1576 it/s
[ep23] loss 0.299 | REFINED @0/1/2=[np.float64(4.38), np.float64(26.91), np.float64(46.99)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1490 it/s
[ep24] loss 0.291 | REFINED @0/1/2=[np.float64(4.4), np.float64(27.65), np.float64(47.57)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1425 it/s
[ep25] loss 0.289 | REFINED @0/1/2=[np.float64(4.28), np.float64(26.7), np.float64(46.58)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1397 it/s
[ep26] loss 0.285 | REFINED @0/1/2=[np.float64(4.4), np.float64(26.94), np.float64(46.51)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1459 it/s
[ep27] loss 0.288 | REFINED @0/1/2=[np.float64(4.34), np.float64(26.8), np.float64(46.67)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1499 it/s
[ep28] loss 0.285 | REFINED @0/1/2=[np.float64(4.4), np.float64(26.73), np.float64(46.71)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1557 it/s
[ep29] loss 0.288 | REFINED @0/1/2=[np.float64(4.24), np.float64(26.53), np.float64(46.46)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1553 it/s
[done] r5_d0_big best REFINED @0/1/2=[np.float64(4.73), np.float64(28.99), np.float64(54.58)] (stage-1 base @2 44.90)
