[cfg] refine4 W=48 mode=film n_lang=2 stages=3 reject=False | pairs 3448 (pos 3448 / neg 0)
[ep0] loss 1.610 | REFINED @0/1/2=[np.float64(0.0), np.float64(0.03), np.float64(0.05)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1204 it/s
[ep1] loss 1.226 | REFINED @0/1/2=[np.float64(0.01), np.float64(0.07), np.float64(0.11)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1547 it/s
[ep2] loss 0.971 | REFINED @0/1/2=[np.float64(1.84), np.float64(9.83), np.float64(22.82)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1609 it/s
[ep3] loss 0.774 | REFINED @0/1/2=[np.float64(2.1), np.float64(14.3), np.float64(29.59)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1660 it/s
[ep4] loss 0.682 | REFINED @0/1/2=[np.float64(3.07), np.float64(20.98), np.float64(43.32)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1621 it/s
[ep5] loss 0.620 | REFINED @0/1/2=[np.float64(3.2), np.float64(22.18), np.float64(44.35)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1643 it/s
[ep6] loss 0.582 | REFINED @0/1/2=[np.float64(3.06), np.float64(22.66), np.float64(45.08)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1663 it/s
[ep7] loss 0.535 | REFINED @0/1/2=[np.float64(4.32), np.float64(29.32), np.float64(52.43)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1634 it/s
[ep8] loss 0.498 | REFINED @0/1/2=[np.float64(4.98), np.float64(27.99), np.float64(48.93)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1665 it/s
[ep9] loss 0.487 | REFINED @0/1/2=[np.float64(5.39), np.float64(33.38), np.float64(53.16)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1668 it/s
[ep10] loss 0.455 | REFINED @0/1/2=[np.float64(5.04), np.float64(32.35), np.float64(52.34)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1653 it/s
[ep11] loss 0.447 | REFINED @0/1/2=[np.float64(5.08), np.float64(32.15), np.float64(53.55)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1662 it/s
[ep12] loss 0.430 | REFINED @0/1/2=[np.float64(3.66), np.float64(30.37), np.float64(52.73)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1651 it/s
[ep13] loss 0.417 | REFINED @0/1/2=[np.float64(6.0), np.float64(34.33), np.float64(56.71)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1660 it/s
[ep14] loss 0.404 | REFINED @0/1/2=[np.float64(4.58), np.float64(31.64), np.float64(52.49)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1636 it/s
[ep15] loss 0.397 | REFINED @0/1/2=[np.float64(5.57), np.float64(33.82), np.float64(53.8)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1610 it/s
[ep16] loss 0.383 | REFINED @0/1/2=[np.float64(5.1), np.float64(32.51), np.float64(53.45)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1670 it/s
[ep17] loss 0.372 | REFINED @0/1/2=[np.float64(4.8), np.float64(32.03), np.float64(49.76)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1627 it/s
[ep18] loss 0.364 | REFINED @0/1/2=[np.float64(6.06), np.float64(32.62), np.float64(54.93)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1653 it/s
[ep19] loss 0.360 | REFINED @0/1/2=[np.float64(5.43), np.float64(31.68), np.float64(53.73)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1671 it/s
[ep20] loss 0.349 | REFINED @0/1/2=[np.float64(4.98), np.float64(31.93), np.float64(51.03)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1627 it/s
[ep21] loss 0.341 | REFINED @0/1/2=[np.float64(5.86), np.float64(30.93), np.float64(52.48)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1641 it/s
[ep22] loss 0.335 | REFINED @0/1/2=[np.float64(5.11), np.float64(30.69), np.float64(51.29)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1635 it/s
[ep23] loss 0.332 | REFINED @0/1/2=[np.float64(5.13), np.float64(31.22), np.float64(52.87)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1620 it/s
[ep24] loss 0.328 | REFINED @0/1/2=[np.float64(5.0), np.float64(30.81), np.float64(51.55)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1641 it/s
[ep25] loss 0.329 | REFINED @0/1/2=[np.float64(5.11), np.float64(32.05), np.float64(53.2)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1584 it/s
