[cfg] refine4 W=48 mode=film n_lang=2 stages=3 reject=False | pairs 3448 (pos 3448 / neg 0)
[ep0] loss 1.475 | REFINED @0/1/2=[np.float64(0.02), np.float64(0.08), np.float64(0.17)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1238 it/s
[ep1] loss 1.208 | REFINED @0/1/2=[np.float64(0.0), np.float64(0.02), np.float64(0.08)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1642 it/s
[ep2] loss 0.929 | REFINED @0/1/2=[np.float64(0.91), np.float64(10.46), np.float64(25.12)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1695 it/s
[ep3] loss 0.760 | REFINED @0/1/2=[np.float64(3.04), np.float64(15.31), np.float64(28.66)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1714 it/s
[ep4] loss 0.669 | REFINED @0/1/2=[np.float64(2.36), np.float64(20.94), np.float64(42.21)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1730 it/s
[ep5] loss 0.615 | REFINED @0/1/2=[np.float64(4.19), np.float64(21.9), np.float64(41.36)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1691 it/s
[ep6] loss 0.579 | REFINED @0/1/2=[np.float64(3.82), np.float64(23.93), np.float64(46.07)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1754 it/s
[ep7] loss 0.538 | REFINED @0/1/2=[np.float64(3.31), np.float64(27.92), np.float64(49.51)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1742 it/s
[ep8] loss 0.511 | REFINED @0/1/2=[np.float64(5.52), np.float64(25.09), np.float64(48.38)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1752 it/s
[ep9] loss 0.495 | REFINED @0/1/2=[np.float64(3.64), np.float64(31.25), np.float64(51.75)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1767 it/s
[ep10] loss 0.473 | REFINED @0/1/2=[np.float64(3.23), np.float64(25.69), np.float64(51.12)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1771 it/s
[ep11] loss 0.458 | REFINED @0/1/2=[np.float64(4.72), np.float64(28.05), np.float64(49.94)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1733 it/s
[ep12] loss 0.441 | REFINED @0/1/2=[np.float64(3.93), np.float64(28.22), np.float64(51.08)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1735 it/s
[ep13] loss 0.426 | REFINED @0/1/2=[np.float64(4.06), np.float64(31.74), np.float64(55.58)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1728 it/s
[ep14] loss 0.408 | REFINED @0/1/2=[np.float64(4.4), np.float64(31.29), np.float64(53.62)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1704 it/s
[ep15] loss 0.397 | REFINED @0/1/2=[np.float64(5.0), np.float64(29.39), np.float64(54.34)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1749 it/s
[ep16] loss 0.382 | REFINED @0/1/2=[np.float64(4.77), np.float64(30.45), np.float64(54.12)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1725 it/s
[ep17] loss 0.379 | REFINED @0/1/2=[np.float64(4.59), np.float64(30.11), np.float64(54.52)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1750 it/s
[ep18] loss 0.366 | REFINED @0/1/2=[np.float64(4.43), np.float64(31.38), np.float64(53.18)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1757 it/s
[ep19] loss 0.361 | REFINED @0/1/2=[np.float64(4.47), np.float64(30.22), np.float64(52.69)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1715 it/s
[ep20] loss 0.352 | REFINED @0/1/2=[np.float64(4.22), np.float64(30.1), np.float64(53.83)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1658 it/s
[ep21] loss 0.343 | REFINED @0/1/2=[np.float64(4.49), np.float64(29.2), np.float64(53.11)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1695 it/s
[ep22] loss 0.339 | REFINED @0/1/2=[np.float64(3.99), np.float64(29.82), np.float64(52.69)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1728 it/s
[ep23] loss 0.332 | REFINED @0/1/2=[np.float64(4.56), np.float64(30.64), np.float64(52.98)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1783 it/s
[ep24] loss 0.330 | REFINED @0/1/2=[np.float64(4.29), np.float64(30.06), np.float64(53.07)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1784 it/s
[ep25] loss 0.331 | REFINED @0/1/2=[np.float64(4.33), np.float64(30.42), np.float64(53.0)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1776 it/s
[ep26] loss 0.328 | REFINED @0/1/2=[np.float64(4.11), np.float64(29.84), np.float64(53.07)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1753 it/s
[ep27] loss 0.327 | REFINED @0/1/2=[np.float64(4.11), np.float64(29.92), np.float64(53.17)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1678 it/s
[ep28] loss 0.329 | REFINED @0/1/2=[np.float64(4.13), np.float64(29.95), np.float64(53.18)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1705 it/s
[ep29] loss 0.328 | REFINED @0/1/2=[np.float64(4.06), np.float64(30.0), np.float64(52.87)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1717 it/s
[done] r6_final best REFINED(val) @0/1/2=[np.float64(4.06), np.float64(31.74), np.float64(55.58)] (stage-1 base @2 44.90)
[TEST] r6_final REFINED @0/1/2=[np.float64(4.12), np.float64(28.84), np.float64(56.05)] | stage-1 base [np.float64(2.79), np.float64(21.65), np.float64(42.83)]
