[cfg] refine4 W=48 mode=film n_lang=2 stages=3 reject=False | pairs 3448 (pos 3448 / neg 0)
[ep0] loss 1.528 | REFINED @0/1/2=[np.float64(0.08), np.float64(0.1), np.float64(0.17)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1251 it/s
[ep1] loss 1.218 | REFINED @0/1/2=[np.float64(0.23), np.float64(0.83), np.float64(2.51)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1692 it/s
[ep2] loss 0.962 | REFINED @0/1/2=[np.float64(1.33), np.float64(10.98), np.float64(22.34)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1666 it/s
[ep3] loss 0.790 | REFINED @0/1/2=[np.float64(2.0), np.float64(14.82), np.float64(28.74)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1705 it/s
[ep4] loss 0.709 | REFINED @0/1/2=[np.float64(2.26), np.float64(20.05), np.float64(36.39)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1726 it/s
[ep5] loss 0.643 | REFINED @0/1/2=[np.float64(3.12), np.float64(19.33), np.float64(40.14)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1771 it/s
[ep6] loss 0.602 | REFINED @0/1/2=[np.float64(2.54), np.float64(22.69), np.float64(42.46)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1741 it/s
[ep7] loss 0.561 | REFINED @0/1/2=[np.float64(4.1), np.float64(27.57), np.float64(45.85)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1716 it/s
[ep8] loss 0.529 | REFINED @0/1/2=[np.float64(5.55), np.float64(27.29), np.float64(47.2)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1746 it/s
[ep9] loss 0.518 | REFINED @0/1/2=[np.float64(3.03), np.float64(28.08), np.float64(48.62)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1777 it/s
[ep10] loss 0.483 | REFINED @0/1/2=[np.float64(4.79), np.float64(29.39), np.float64(52.07)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1780 it/s
[ep11] loss 0.465 | REFINED @0/1/2=[np.float64(4.49), np.float64(25.54), np.float64(52.53)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1751 it/s
[ep12] loss 0.460 | REFINED @0/1/2=[np.float64(4.55), np.float64(32.05), np.float64(51.79)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1739 it/s
[ep13] loss 0.439 | REFINED @0/1/2=[np.float64(4.2), np.float64(27.91), np.float64(51.61)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1733 it/s
[ep14] loss 0.418 | REFINED @0/1/2=[np.float64(3.86), np.float64(29.32), np.float64(51.26)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1768 it/s
[ep15] loss 0.413 | REFINED @0/1/2=[np.float64(4.17), np.float64(29.89), np.float64(50.34)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1730 it/s
[ep16] loss 0.397 | REFINED @0/1/2=[np.float64(4.0), np.float64(25.67), np.float64(51.82)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1727 it/s
[ep17] loss 0.389 | REFINED @0/1/2=[np.float64(4.28), np.float64(28.6), np.float64(51.85)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1738 it/s
[ep18] loss 0.379 | REFINED @0/1/2=[np.float64(4.41), np.float64(31.15), np.float64(52.37)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1750 it/s
[ep19] loss 0.375 | REFINED @0/1/2=[np.float64(4.26), np.float64(28.58), np.float64(52.96)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1722 it/s
[ep20] loss 0.365 | REFINED @0/1/2=[np.float64(3.83), np.float64(28.38), np.float64(51.77)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1680 it/s
[ep21] loss 0.356 | REFINED @0/1/2=[np.float64(4.38), np.float64(27.08), np.float64(51.85)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1689 it/s
[ep22] loss 0.354 | REFINED @0/1/2=[np.float64(4.01), np.float64(28.18), np.float64(49.89)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1686 it/s
[ep23] loss 0.349 | REFINED @0/1/2=[np.float64(3.81), np.float64(28.37), np.float64(50.24)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1776 it/s
[ep24] loss 0.343 | REFINED @0/1/2=[np.float64(3.78), np.float64(28.12), np.float64(49.6)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1783 it/s
[ep25] loss 0.344 | REFINED @0/1/2=[np.float64(3.87), np.float64(27.76), np.float64(50.41)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1764 it/s
[ep26] loss 0.343 | REFINED @0/1/2=[np.float64(3.61), np.float64(27.9), np.float64(50.34)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1718 it/s
[ep27] loss 0.342 | REFINED @0/1/2=[np.float64(3.61), np.float64(28.08), np.float64(50.2)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1724 it/s
[ep28] loss 0.343 | REFINED @0/1/2=[np.float64(3.59), np.float64(28.06), np.float64(50.19)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1764 it/s
[ep29] loss 0.342 | REFINED @0/1/2=[np.float64(3.78), np.float64(27.68), np.float64(50.11)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1707 it/s
[done] r6_final_s2 best REFINED(val) @0/1/2=[np.float64(4.26), np.float64(28.58), np.float64(52.96)] (stage-1 base @2 44.90)
[TEST] r6_final_s2 REFINED @0/1/2=[np.float64(4.33), np.float64(27.67), np.float64(54.08)] | stage-1 base [np.float64(2.79), np.float64(21.65), np.float64(42.83)]
