[cfg] refine4 W=12 mode=film n_lang=2 stages=3 reject=False | pairs 3282 (pos 3282 / neg 0)
[ep0] loss 1.810 | REFINED @0/1/2=[np.float64(3.16), np.float64(16.79), np.float64(36.92)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 2066 it/s
[ep1] loss 1.374 | REFINED @0/1/2=[np.float64(2.63), np.float64(17.07), np.float64(32.52)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 3512 it/s
[ep2] loss 1.315 | REFINED @0/1/2=[np.float64(2.95), np.float64(18.41), np.float64(38.18)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 3991 it/s
[ep3] loss 1.288 | REFINED @0/1/2=[np.float64(3.89), np.float64(20.38), np.float64(41.53)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4061 it/s
[ep4] loss 1.266 | REFINED @0/1/2=[np.float64(4.61), np.float64(23.57), np.float64(44.76)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4169 it/s
[ep5] loss 1.234 | REFINED @0/1/2=[np.float64(5.6), np.float64(25.18), np.float64(46.45)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 3772 it/s
[ep6] loss 1.208 | REFINED @0/1/2=[np.float64(4.88), np.float64(26.56), np.float64(48.45)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4034 it/s
[ep7] loss 1.187 | REFINED @0/1/2=[np.float64(5.77), np.float64(27.24), np.float64(49.41)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4049 it/s
[ep8] loss 1.131 | REFINED @0/1/2=[np.float64(6.08), np.float64(27.86), np.float64(51.13)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4396 it/s
[ep9] loss 1.083 | REFINED @0/1/2=[np.float64(5.09), np.float64(29.58), np.float64(52.85)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4389 it/s
[ep10] loss 1.060 | REFINED @0/1/2=[np.float64(4.51), np.float64(30.91), np.float64(51.86)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4042 it/s
