[cfg] refine4 W=12 mode=film n_lang=2 stages=3 reject=True | pairs 3498 (pos 3282 / neg 216)
[ep0] loss 1.778 | REFINED @0/1/2=[np.float64(3.22), np.float64(17.77), np.float64(37.09)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 2270 it/s
[ep1] loss 1.375 | REFINED @0/1/2=[np.float64(3.15), np.float64(18.0), np.float64(39.63)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 3830 it/s
[ep2] loss 1.319 | REFINED @0/1/2=[np.float64(2.11), np.float64(17.29), np.float64(33.75)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4144 it/s
[ep3] loss 1.294 | REFINED @0/1/2=[np.float64(4.52), np.float64(22.35), np.float64(43.64)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4106 it/s
[ep4] loss 1.268 | REFINED @0/1/2=[np.float64(5.15), np.float64(23.5), np.float64(45.44)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4120 it/s
[ep5] loss 1.218 | REFINED @0/1/2=[np.float64(5.4), np.float64(26.07), np.float64(47.73)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4091 it/s
[ep6] loss 1.182 | REFINED @0/1/2=[np.float64(4.42), np.float64(30.67), np.float64(50.27)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4389 it/s
[ep7] loss 1.151 | REFINED @0/1/2=[np.float64(6.73), np.float64(32.39), np.float64(53.33)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4417 it/s
[ep8] loss 1.118 | REFINED @0/1/2=[np.float64(6.28), np.float64(29.74), np.float64(53.01)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4371 it/s
[ep9] loss 1.088 | REFINED @0/1/2=[np.float64(5.57), np.float64(31.63), np.float64(51.97)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4421 it/s
[ep10] loss 1.041 | REFINED @0/1/2=[np.float64(5.9), np.float64(31.71), np.float64(52.68)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4398 it/s
[ep11] loss 1.018 | REFINED @0/1/2=[np.float64(5.79), np.float64(30.71), np.float64(50.74)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4156 it/s
[ep12] loss 0.986 | REFINED @0/1/2=[np.float64(5.47), np.float64(30.27), np.float64(52.04)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4242 it/s
[ep13] loss 0.956 | REFINED @0/1/2=[np.float64(6.49), np.float64(34.02), np.float64(53.59)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4275 it/s
[ep14] loss 0.921 | REFINED @0/1/2=[np.float64(5.91), np.float64(28.81), np.float64(51.41)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4336 it/s
[ep15] loss 0.898 | REFINED @0/1/2=[np.float64(5.7), np.float64(30.01), np.float64(50.24)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4278 it/s
[ep16] loss 0.858 | REFINED @0/1/2=[np.float64(4.94), np.float64(29.62), np.float64(49.93)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4299 it/s
[ep17] loss 0.841 | REFINED @0/1/2=[np.float64(5.4), np.float64(30.69), np.float64(48.18)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4200 it/s
[ep18] loss 0.814 | REFINED @0/1/2=[np.float64(5.34), np.float64(31.17), np.float64(50.14)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4421 it/s
[ep19] loss 0.789 | REFINED @0/1/2=[np.float64(4.46), np.float64(31.52), np.float64(52.34)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4377 it/s
[ep20] loss 0.764 | REFINED @0/1/2=[np.float64(4.38), np.float64(30.82), np.float64(50.36)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4355 it/s
[ep21] loss 0.743 | REFINED @0/1/2=[np.float64(4.02), np.float64(30.48), np.float64(50.53)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4326 it/s
[ep22] loss 0.730 | REFINED @0/1/2=[np.float64(4.31), np.float64(29.06), np.float64(49.89)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4446 it/s
[ep23] loss 0.719 | REFINED @0/1/2=[np.float64(4.49), np.float64(29.84), np.float64(48.89)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4641 it/s
[ep24] loss 0.714 | REFINED @0/1/2=[np.float64(4.16), np.float64(29.21), np.float64(48.7)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 4803 it/s
[ep25] loss 0.704 | REFINED @0/1/2=[np.float64(4.4), np.float64(29.94), np.float64(49.37)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5200 it/s
[ep26] loss 0.700 | REFINED @0/1/2=[np.float64(4.5), np.float64(29.94), np.float64(49.39)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5131 it/s
[ep27] loss 0.699 | REFINED @0/1/2=[np.float64(4.5), np.float64(29.91), np.float64(49.4)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5252 it/s
[ep28] loss 0.701 | REFINED @0/1/2=[np.float64(4.42), np.float64(29.88), np.float64(49.23)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5294 it/s
[ep29] loss 0.698 | REFINED @0/1/2=[np.float64(4.36), np.float64(29.54), np.float64(49.11)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 5230 it/s
[done] r7_w12_rej best REFINED(val) @0/1/2=[np.float64(6.49), np.float64(34.02), np.float64(53.59)] (stage-1 base @2 44.90)
[TEST] r7_w12_rej REFINED @0/1/2=[np.float64(4.51), np.float64(31.42), np.float64(53.98)] | stage-1 base [np.float64(2.79), np.float64(21.65), np.float64(42.83)]
