[cfg] refine4 W=8 mode=film n_lang=2 stages=2 reject=True | pairs 3498 (pos 3222 / neg 276)
[ep0] loss 1.386 | REFINED @0/1/2=[np.float64(3.59), np.float64(18.73), np.float64(37.22)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 2743 it/s
[ep1] loss 1.147 | REFINED @0/1/2=[np.float64(3.61), np.float64(18.81), np.float64(38.18)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7165 it/s
[ep2] loss 1.050 | REFINED @0/1/2=[np.float64(3.66), np.float64(19.43), np.float64(39.2)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 6332 it/s
[ep3] loss 1.028 | REFINED @0/1/2=[np.float64(3.83), np.float64(19.44), np.float64(40.03)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7243 it/s
[ep4] loss 1.015 | REFINED @0/1/2=[np.float64(3.8), np.float64(20.11), np.float64(41.12)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7654 it/s
[ep5] loss 0.993 | REFINED @0/1/2=[np.float64(4.24), np.float64(21.37), np.float64(42.49)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7772 it/s
[ep6] loss 0.978 | REFINED @0/1/2=[np.float64(4.82), np.float64(22.4), np.float64(44.01)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7019 it/s
[ep7] loss 0.959 | REFINED @0/1/2=[np.float64(4.93), np.float64(23.02), np.float64(45.8)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7584 it/s
[ep8] loss 0.940 | REFINED @0/1/2=[np.float64(5.97), np.float64(26.7), np.float64(47.62)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7100 it/s
[ep9] loss 0.929 | REFINED @0/1/2=[np.float64(4.91), np.float64(27.69), np.float64(49.47)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7402 it/s
[ep10] loss 0.907 | REFINED @0/1/2=[np.float64(4.69), np.float64(28.03), np.float64(48.56)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7427 it/s
