[cfg] refine4 W=8 mode=film n_lang=2 stages=2 reject=True | pairs 3498 (pos 3222 / neg 276)
[ep0] loss 1.412 | REFINED @0/1/2=[np.float64(0.77), np.float64(5.25), np.float64(14.99)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 2717 it/s
[ep1] loss 1.307 | REFINED @0/1/2=[np.float64(3.26), np.float64(18.48), np.float64(38.75)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7500 it/s
[ep2] loss 1.130 | REFINED @0/1/2=[np.float64(3.65), np.float64(20.95), np.float64(40.62)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 6417 it/s
[ep3] loss 1.082 | REFINED @0/1/2=[np.float64(3.44), np.float64(19.98), np.float64(41.48)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7206 it/s
[ep4] loss 1.061 | REFINED @0/1/2=[np.float64(3.62), np.float64(20.06), np.float64(41.72)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7729 it/s
[ep5] loss 1.042 | REFINED @0/1/2=[np.float64(3.51), np.float64(20.85), np.float64(42.49)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7783 it/s
[ep6] loss 1.036 | REFINED @0/1/2=[np.float64(4.0), np.float64(21.74), np.float64(43.38)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7015 it/s
[ep7] loss 1.029 | REFINED @0/1/2=[np.float64(3.04), np.float64(22.26), np.float64(41.27)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7642 it/s
[ep8] loss 1.016 | REFINED @0/1/2=[np.float64(4.39), np.float64(22.62), np.float64(43.89)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7155 it/s
[ep9] loss 1.017 | REFINED @0/1/2=[np.float64(4.05), np.float64(21.79), np.float64(43.64)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7689 it/s
[ep10] loss 1.004 | REFINED @0/1/2=[np.float64(4.29), np.float64(22.84), np.float64(43.08)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7524 it/s
[ep11] loss 0.997 | REFINED @0/1/2=[np.float64(4.7), np.float64(23.4), np.float64(45.02)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7634 it/s
[ep12] loss 0.986 | REFINED @0/1/2=[np.float64(4.37), np.float64(25.19), np.float64(45.12)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7592 it/s
[ep13] loss 0.979 | REFINED @0/1/2=[np.float64(4.95), np.float64(23.81), np.float64(46.45)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7707 it/s
[ep14] loss 0.972 | REFINED @0/1/2=[np.float64(5.03), np.float64(25.39), np.float64(46.81)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7708 it/s
[ep15] loss 0.962 | REFINED @0/1/2=[np.float64(5.45), np.float64(26.83), np.float64(47.57)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7428 it/s
[ep16] loss 0.958 | REFINED @0/1/2=[np.float64(5.34), np.float64(26.97), np.float64(48.48)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7575 it/s
[ep17] loss 0.944 | REFINED @0/1/2=[np.float64(5.57), np.float64(26.76), np.float64(49.22)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7657 it/s
[ep18] loss 0.937 | REFINED @0/1/2=[np.float64(5.27), np.float64(27.2), np.float64(49.8)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 7686 it/s
