[cfg] refine3 W=48 n_lang=2 reject=True | pairs 3498 (pos 3448 / neg 50)
[ep0] loss 0.463 | REFINED @0/1/2=[np.float64(0.15), np.float64(1.89), np.float64(4.95)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1136 it/s
[ep1] loss 0.356 | REFINED @0/1/2=[np.float64(0.25), np.float64(3.07), np.float64(7.2)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1550 it/s
[ep2] loss 0.288 | REFINED @0/1/2=[np.float64(3.11), np.float64(15.9), np.float64(34.4)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1545 it/s
[ep3] loss 0.235 | REFINED @0/1/2=[np.float64(3.88), np.float64(19.8), np.float64(39.99)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1555 it/s
[ep4] loss 0.218 | REFINED @0/1/2=[np.float64(3.9), np.float64(21.42), np.float64(42.86)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1593 it/s
[ep5] loss 0.209 | REFINED @0/1/2=[np.float64(4.1), np.float64(22.24), np.float64(44.26)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1589 it/s
[ep6] loss 0.205 | REFINED @0/1/2=[np.float64(4.15), np.float64(22.33), np.float64(45.22)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1589 it/s
[ep7] loss 0.200 | REFINED @0/1/2=[np.float64(4.19), np.float64(23.55), np.float64(46.06)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1603 it/s
[ep8] loss 0.195 | REFINED @0/1/2=[np.float64(4.16), np.float64(23.26), np.float64(46.76)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1598 it/s
[ep9] loss 0.193 | REFINED @0/1/2=[np.float64(4.62), np.float64(23.49), np.float64(46.53)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1598 it/s
[ep10] loss 0.190 | REFINED @0/1/2=[np.float64(4.34), np.float64(23.25), np.float64(46.74)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1599 it/s
[ep11] loss 0.185 | REFINED @0/1/2=[np.float64(4.55), np.float64(23.81), np.float64(46.46)] | base [np.float64(4.28), np.float64(22.88), np.float64(44.9)] | 1627 it/s
