Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 7052.21it/s]
Loading weights:   0%|          | 0/750 [00:00<?, ?it/s]Loading weights:   7%|▋         | 54/750 [00:00<00:01, 534.65it/s]Loading weights:  14%|█▍        | 108/750 [00:00<00:01, 511.19it/s]Loading weights:  22%|██▏       | 168/750 [00:00<00:01, 544.85it/s]Loading weights:  30%|██▉       | 223/750 [00:00<00:01, 494.84it/s]Loading weights:  37%|███▋      | 274/750 [00:00<00:00, 497.56it/s]Loading weights:  44%|████▍     | 329/750 [00:00<00:00, 513.40it/s]Loading weights:  52%|█████▏    | 390/750 [00:00<00:00, 538.03it/s]Loading weights: 100%|██████████| 750/750 [00:00<00:00, 913.94it/s]
[init] loaded Phase-1 fc from outputs/idx_compress/comp_notext/best.pt (missing 0 unexpected 0)
[cfg] mode=compress stain=0 n_q=8 use_text=0 | trainable=71.20M | train 4576 | bs=2
[ep-1 init] mAP@0/1/2=[np.float64(6.83), np.float64(44.23), np.float64(67.62)] ndet=637 ngt=647
  ep0 step50/2288 loss 0.5519 | 2.0 samp/s
  ep0 step100/2288 loss 0.5377 | 2.0 samp/s
  ep0 step150/2288 loss 0.5354 | 1.9 samp/s
  ep0 step200/2288 loss 0.5315 | 1.9 samp/s
  ep0 step250/2288 loss 0.5389 | 1.9 samp/s
  ep0 step300/2288 loss 0.5304 | 1.9 samp/s
  ep0 step350/2288 loss 0.5287 | 1.9 samp/s
  ep0 step400/2288 loss 0.5301 | 1.9 samp/s
  ep0 step450/2288 loss 0.5281 | 1.9 samp/s
  ep0 step500/2288 loss 0.5268 | 1.9 samp/s
  ep0 step550/2288 loss 0.5265 | 1.9 samp/s
  ep0 step600/2288 loss 0.5261 | 1.9 samp/s
  ep0 step650/2288 loss 0.5222 | 1.9 samp/s
  ep0 step700/2288 loss 0.5218 | 1.9 samp/s
  ep0 step750/2288 loss 0.5232 | 1.9 samp/s
  ep0 step800/2288 loss 0.5192 | 1.9 samp/s
  ep0 step850/2288 loss 0.5200 | 1.9 samp/s
  ep0 step900/2288 loss 0.5172 | 1.9 samp/s
  ep0 step950/2288 loss 0.5183 | 1.9 samp/s
  ep0 step1000/2288 loss 0.5188 | 1.9 samp/s
  ep0 step1050/2288 loss 0.5188 | 1.9 samp/s
  ep0 step1100/2288 loss 0.5182 | 1.9 samp/s
