metric,type,n_events,fwhm,offset,peak
qsim_loc_L12,all,200,4.0,13.0,0.3095
qsim_loc_L12,touch,100,17.0,15.0,0.3104
qsim_loc_L12,untouch,100,4.0,12.0,0.3086
qsim_loc_L18,all,200,1.0,15.0,0.4098
qsim_loc_L18,touch,100,3.0,15.0,0.4103
qsim_loc_L18,untouch,100,1.0,15.0,0.4093
qsim_loc_L24,all,200,2.0,13.0,0.492
qsim_loc_L24,touch,100,2.0,-1.0,0.4921
qsim_loc_L24,untouch,100,3.0,13.0,0.4918
qsim_loc_L30,all,200,28.0,5.0,0.6378
qsim_loc_L30,touch,100,3.0,15.0,0.6342
qsim_loc_L30,untouch,100,27.0,5.0,0.6415
qsim_loc_L36,all,200,12.0,-6.0,0.8653
qsim_loc_L36,touch,100,17.0,-13.0,0.8649
qsim_loc_L36,untouch,100,4.0,-6.0,0.866
qsim_loc_L6,all,200,8.0,-8.0,0.234
qsim_loc_L6,touch,100,8.0,15.0,0.2353
qsim_loc_L6,untouch,100,12.0,-12.0,0.2339
qsim_qtok_L12,all,200,29.0,12.0,0.3603
qsim_qtok_L12,touch,100,17.0,15.0,0.3582
qsim_qtok_L12,untouch,100,2.0,12.0,0.3626
qsim_qtok_L18,all,200,29.0,5.0,0.4483
qsim_qtok_L18,touch,100,3.0,15.0,0.4454
qsim_qtok_L18,untouch,100,2.0,12.0,0.4514
qsim_qtok_L24,all,200,28.0,5.0,0.5391
qsim_qtok_L24,touch,100,6.0,6.0,0.538
qsim_qtok_L24,untouch,100,28.0,5.0,0.5403
qsim_qtok_L30,all,200,3.0,15.0,0.6263
qsim_qtok_L30,touch,100,3.0,15.0,0.627
qsim_qtok_L30,untouch,100,4.0,15.0,0.6255
qsim_qtok_L36,all,200,5.0,-6.0,0.8666
qsim_qtok_L36,touch,100,17.0,-13.0,0.8684
qsim_qtok_L36,untouch,100,4.0,-6.0,0.8651
qsim_qtok_L6,all,200,8.0,-8.0,0.4055
qsim_qtok_L6,touch,100,8.0,15.0,0.406
qsim_qtok_L6,untouch,100,12.0,-12.0,0.407
selfproto_L12,all,200,1.0,0.0,1.0
selfproto_L12,touch,100,1.0,0.0,1.0
selfproto_L12,untouch,100,1.0,0.0,1.0
selfproto_L18,all,200,1.0,0.0,1.0
selfproto_L18,touch,100,1.0,0.0,1.0
selfproto_L18,untouch,100,1.0,0.0,1.0
selfproto_L24,all,200,1.0,0.0,1.0
selfproto_L24,touch,100,1.0,0.0,1.0
selfproto_L24,untouch,100,1.0,0.0,1.0
selfproto_L30,all,200,1.0,0.0,1.0
selfproto_L30,touch,100,1.0,0.0,1.0
selfproto_L30,untouch,100,1.0,0.0,1.0
selfproto_L36,all,200,1.0,0.0,1.0
selfproto_L36,touch,100,2.0,0.0,1.0
selfproto_L36,untouch,100,1.0,0.0,1.0
selfproto_L6,all,200,3.0,0.0,1.0
selfproto_L6,touch,100,3.0,0.0,1.0
selfproto_L6,untouch,100,3.0,0.0,1.0
selfproto_raw,all,200,3.0,0.0,1.0
selfproto_raw,touch,100,3.0,0.0,1.0
selfproto_raw,untouch,100,4.0,0.0,1.0
