filename,fps,t-start,t-end,action-label,temporal-region-label,video-duration
men_olympic_short_program_2010_02_00021650_00025875,25.0,11.56,12.2,jump_takeoff,Foreground,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,12.2,12.84,jump_landing,Foreground,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,32.04,32.68,jump_takeoff,Foreground,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,32.68,33.32,jump_landing,Foreground,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,33.48,34.12,jump_takeoff,Foreground,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,34.12,34.76,jump_landing,Foreground,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,44.72,45.36,jump_takeoff,Foreground,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,45.4,46.04,jump_landing,Foreground,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,49.28,49.92,spin_takeoff,Foreground,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,49.72,50.36,spin_landing,Foreground,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,0.0,11.56,,Background,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,12.84,32.04,,Background,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,33.32,33.48,,Background,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,34.76,44.72,,Background,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,45.36,45.4,,Background,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,46.04,49.28,,Background,169.0
men_olympic_short_program_2010_02_00021650_00025875,25.0,50.36,169.0,,Background,169.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,16.12,16.76,jump_takeoff,Foreground,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,16.88,17.52,jump_landing,Foreground,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,17.76,18.4,jump_takeoff,Foreground,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,18.28,18.92,jump_landing,Foreground,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,29.76,30.4,jump_takeoff,Foreground,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,30.48,31.12,jump_landing,Foreground,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,40.76,41.4,jump_takeoff,Foreground,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,41.36,42.0,jump_landing,Foreground,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,112.4,113.04,spin_takeoff,Foreground,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,112.92,113.56,spin_landing,Foreground,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,0.0,16.12,,Background,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,16.76,16.88,,Background,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,17.52,17.76,,Background,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,18.92,29.76,,Background,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,30.4,30.48,,Background,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,31.12,40.76,,Background,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,42.0,112.4,,Background,171.0
men_olympic_short_program_2010_10_00111625_00115900,25.0,113.56,171.0,,Background,171.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,24.8,25.44,jump_takeoff,Foreground,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,25.52,26.16,jump_landing,Foreground,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,40.48,41.12,jump_takeoff,Foreground,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,41.32,41.96,jump_landing,Foreground,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,55.88,56.52,jump_takeoff,Foreground,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,56.6,57.24,jump_landing,Foreground,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,57.64,58.28,jump_takeoff,Foreground,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,58.28,58.92,jump_landing,Foreground,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,116.72,117.36,spin_takeoff,Foreground,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,117.28,117.92,spin_landing,Foreground,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,0.0,24.8,,Background,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,25.44,25.52,,Background,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,26.16,40.48,,Background,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,41.12,41.32,,Background,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,41.96,55.88,,Background,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,56.52,56.6,,Background,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,57.24,57.64,,Background,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,58.92,116.72,,Background,173.0
men_olympic_short_program_2010_14_00164800_00169125,25.0,117.92,173.0,,Background,173.0
men_olympic_short_program_2010_17_00205125_00209500,25.0,21.4,22.04,jump_takeoff,Foreground,175.0
