filename,fps,t-start,t-end,action-label,temporal-region-label,video-duration
H2_C5_N23_S263_s04_T4,15.0,3.2667,4.3333,touch,Foreground,20.0
H2_C5_N23_S263_s04_T4,15.0,7.1333,8.2,untouch,Foreground,20.0
H2_C5_N23_S263_s04_T4,15.0,11.3333,12.4,touch,Foreground,20.0
H2_C5_N23_S263_s04_T4,15.0,16.2667,17.3333,untouch,Foreground,20.0
H2_C5_N23_S263_s04_T4,15.0,0.0,3.2667,,Background,20.0
H2_C5_N23_S263_s04_T4,15.0,4.3333,7.1333,,Background,20.0
H2_C5_N23_S263_s04_T4,15.0,8.2,11.3333,,Background,20.0
H2_C5_N23_S263_s04_T4,15.0,12.4,16.2667,,Background,20.0
H2_C5_N23_S263_s04_T4,15.0,17.3333,20.0,,Background,20.0
H2_C5_N24_S263_s04_T4,15.0,2.6,3.6667,touch,Foreground,20.0
H2_C5_N24_S263_s04_T4,15.0,6.3333,7.4,untouch,Foreground,20.0
H2_C5_N24_S263_s04_T4,15.0,11.2,12.2667,touch,Foreground,20.0
H2_C5_N24_S263_s04_T4,15.0,16.5333,17.6,untouch,Foreground,20.0
H2_C5_N24_S263_s04_T4,15.0,0.0,2.6,,Background,20.0
H2_C5_N24_S263_s04_T4,15.0,3.6667,6.3333,,Background,20.0
H2_C5_N24_S263_s04_T4,15.0,7.4,11.2,,Background,20.0
H2_C5_N24_S263_s04_T4,15.0,12.2667,16.5333,,Background,20.0
H2_C5_N24_S263_s04_T4,15.0,17.6,20.0,,Background,20.0
H2_C5_N25_S263_s04_T4,15.0,3.4,4.4667,touch,Foreground,20.0
H2_C5_N25_S263_s04_T4,15.0,7.3333,8.4,untouch,Foreground,20.0
H2_C5_N25_S263_s04_T4,15.0,11.4667,12.5333,touch,Foreground,20.0
H2_C5_N25_S263_s04_T4,15.0,16.3333,17.4,untouch,Foreground,20.0
H2_C5_N25_S263_s04_T4,15.0,0.0,3.4,,Background,20.0
H2_C5_N25_S263_s04_T4,15.0,4.4667,7.3333,,Background,20.0
H2_C5_N25_S263_s04_T4,15.0,8.4,11.4667,,Background,20.0
H2_C5_N25_S263_s04_T4,15.0,12.5333,16.3333,,Background,20.0
H2_C5_N25_S263_s04_T4,15.0,17.4,20.0,,Background,20.0
H2_C5_N26_S263_s04_T4,15.0,3.4667,4.5333,touch,Foreground,20.0
H2_C5_N26_S263_s04_T4,15.0,8.1333,9.2,untouch,Foreground,20.0
H2_C5_N26_S263_s04_T4,15.0,12.6,13.6667,touch,Foreground,20.0
H2_C5_N26_S263_s04_T4,15.0,17.6667,18.7333,untouch,Foreground,20.0
H2_C5_N26_S263_s04_T4,15.0,0.0,3.4667,,Background,20.0
H2_C5_N26_S263_s04_T4,15.0,4.5333,8.1333,,Background,20.0
H2_C5_N26_S263_s04_T4,15.0,9.2,12.6,,Background,20.0
H2_C5_N26_S263_s04_T4,15.0,13.6667,17.6667,,Background,20.0
H2_C5_N26_S263_s04_T4,15.0,18.7333,20.0,,Background,20.0
H2_C5_N27_S263_s05_T4,15.0,2.8,3.8667,touch,Foreground,20.0
